"idx","dateOf","timeCriterium","highOrLow","swingPrice","swingRange","swingTB","swingCD","keyToMarketData","ticker"
615,#1937-08-14#,5,2,190.4,27.09999,48,58,9788,"^DJI"
616,#1937-09-24#,5,1,146.2,-44.2,34,41,9822,"^DJI"
617,#1937-09-30#,5,2,157.1,10.90001,5,6,9827,"^DJI"
618,#1937-10-19#,5,1,115.8,-41.3,15,19,9842,"^DJI"
619,#1937-10-29#,5,2,141.2,25.39999,9,10,9851,"^DJI"
620,#1937-11-23#,5,1,112.5,-28.7,19,25,9870,"^DJI"
621,#1937-12-08#,5,2,131.2,18.7,12,15,9882,"^DJI"
622,#1937-12-14#,5,1,121.9,-9.299995,5,6,9887,"^DJI"
623,#1937-12-21#,5,2,130.8,8.900002,6,7,9893,"^DJI"
624,#1937-12-29#,5,1,117.7,-13.10001,6,8,9899,"^DJI"
625,#1938-01-15#,5,2,135,17.3,14,17,9913,"^DJI"
626,#1938-02-04#,5,1,117.1,-17.9,17,20,9930,"^DJI"
627,#1938-02-23#,5,2,132.9,15.8,14,19,9944,"^DJI"
628,#1938-03-31#,5,1,97.5,-35.39999,31,36,9975,"^DJI"
629,#1938-04-18#,5,2,121.5,24,14,18,9989,"^DJI"
630,#1938-05-02#,5,1,109.4,-12.1,12,14,10001,"^DJI"
631,#1938-05-10#,5,2,120.3,10.9,7,8,10008,"^DJI"
632,#1938-05-27#,5,1,106.4,-13.9,15,17,10023,"^DJI"
633,#1938-08-06#,5,2,146.3,39.9,59,71,10082,"^DJI"
634,#1938-08-12#,5,1,135.4,-10.90001,5,6,10087,"^DJI"
635,#1938-08-24#,5,2,145.3,9.900009,10,12,10097,"^DJI"
636,#1938-09-14#,5,1,130.4,-14.90001,17,21,10114,"^DJI"
637,#1938-09-21#,5,2,140.2,9.800003,6,7,10120,"^DJI"
638,#1938-09-28#,5,1,127.9,-12.3,6,7,10126,"^DJI"
639,#1938-10-24#,5,2,155.4,27.49999,21,26,10147,"^DJI"
640,#1938-10-31#,5,1,150.3,-5.099991,6,7,10153,"^DJI"
641,#1938-11-10#,5,2,158.9,8.599991,8,10,10161,"^DJI"
642,#1938-11-28#,5,1,145.2,-13.7,13,18,10174,"^DJI"
643,#1938-12-15#,5,2,153.2,8,15,17,10189,"^DJI"
644,#1938-12-21#,5,1,149.1,-4.099991,5,6,10194,"^DJI"
645,#1939-01-05#,5,2,155.5,6.399994,11,15,10205,"^DJI"
646,#1939-01-13#,5,1,146,-9.5,7,8,10212,"^DJI"
647,#1939-01-19#,5,2,149.9,3.899994,5,6,10217,"^DJI"
648,#1939-01-26#,5,1,136.1,-13.79999,6,7,10223,"^DJI"
649,#1939-02-06#,5,2,146.4,10.29999,9,11,10232,"^DJI"
650,#1939-02-21#,5,1,142.1,-4.299988,12,15,10244,"^DJI"
651,#1939-03-10#,5,2,152.7,10.59999,14,17,10258,"^DJI"
652,#1939-04-11#,5,1,120,-32.7,26,32,10284,"^DJI"
653,#1939-05-10#,5,2,134.7,14.7,25,29,10309,"^DJI"
654,#1939-05-17#,5,1,128.4,-6.300003,6,7,10315,"^DJI"
655,#1939-06-09#,5,2,140.8,12.40001,19,23,10334,"^DJI"
656,#1939-06-16#,5,1,133.8,-7,6,7,10340,"^DJI"
657,#1939-06-23#,5,2,138,4.199997,6,7,10346,"^DJI"
658,#1939-06-30#,5,1,129,-9,6,7,10352,"^DJI"
659,#1939-08-03#,5,2,145.8,16.8,28,34,10380,"^DJI"
660,#1939-08-24#,5,1,128.6,-17.2,18,21,10398,"^DJI"
